Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Cambodia,0,0,0,10.80621298,9.421676463,8.273263077,7.060778002,7.568071868,9.473067045,8.270683693,7.458064891,7.038151697,7.117132886,7.084210129,6.349018118,5.145361907,4.92398498,4.25500596,3.527849987,3.664732064,3.287590754,7.894280776,7.090995957,6.573421104,6.031991103,5.729100381,3.433624725,3.19291878,2.814206962
Cameroon,6.450208183,5.759841469,6.2801024,4.887025661,12.46962582,13.71014537,12.60297889,12.31089041,12.9305543,12.18212056,13.66727994,11.8924021,10.65690852,8.670103597,7.112068891,7.065281158,6.463096744,5.64849108,4.789134714,4.863954267,4.885873378,4.059512481,4.081054435,3.711676534,3.442747717,3.927426028,3.763054098,3.508785682,3.187302942
Canada,1.054478114,1.020147541,1.078074324,1.102686308,1.136366782,1.113460265,1.107917329,1.086630934,1.148892405,1.070636095,0.996886792,1.307567935,1.294248021,1.12161435,0.975676471,0.860376068,0.752,0.701321918,0.644883871,0.702525547,0.606111801,0.461027933,0.453590164,0.454708108,0.471177778,0.541455128,0.477849673,0.451963636,0.443860465
Central African Republic,44.7279033,47.32915766,46.51121422,51.73676443,81.18195751,62.46247209,58.23627039,66.51086907,70.25463228,64.64377566,72.40019503,79.48846619,70.23487185,73.18240737,56.80743397,58.51069274,53.2466556,47.45618281,40.74568305,34.33063199,36.74989122,34.06094524,31.92667527,47.6783287,41.99357868,49.12651082,49.85703729,41.82208299,39.20343275
Chad,14.34482933,16.7116106,17.13741255,22.70287104,28.99550727,24.37202662,23.91520752,26.00522624,25.64198884,30.35173115,33.83973416,29.71049317,27.56126214,21.59460109,14.11757493,9.913814994,9.045995078,8.031085683,6.728026939,7.533316461,6.859701469,6.971561136,7.11792766,6.924750392,6.615847819,8.898311407,9.921984469,10.21459628,9.347667808
Chile,0.916231889,0.782877269,0.695104262,0.675892599,0.64622027,0.548694504,0.597645511,0.635061809,0.676167414,0.771146387,0.696369778,0.468864971,0.488694555,0.46177158,0.405501872,0.332113821,0.272064516,0.289597701,0.305888889,0.304418605,0.260958904,0.073134921,0.077453184,0.085179856,0.066858238,0.095122951,0.20148,0.190505415,0.173724832
China,7.960415512,7.893942559,7.387681499,7.590539326,6.256755319,5.331020408,4.577256944,4.120176715,3.983718447,3.718688073,3.51214876,3.328291045,3.244238095,3.245114458,3.130586735,2.996860262,2.74456,2.300121127,1.842189542,1.773762745,1.621078818,1.372825166,1.253228605,1.164551724,1.062453333,1.004475676,1.000683929,0.927500813,0.842144604
Colombia,4.537237447,4.450380915,3.808864504,3.409193274,2.798166512,2.504559658,2.390178456,2.217383178,2.427782611,2.653674366,2.333346544,2.267651283,2.263201325,2.366195454,1.934444444,1.564041096,1.417654321,1.143300971,0.977024793,1.036681034,0.853484321,0.667164179,0.598221024,0.598560209,0.608976378,0.797883959,0.93360424,0.835288462,0.802245509
Comoros,0.791393092,0.801681084,0.743350437,0.772829193,1.127857709,0.903474333,0.934216518,1.015240711,1.053749959,1.045874705,1.084895072,1.056769658,0.96252108,0.786271071,0.710108306,0.718824663,0.672936114,0.527854951,0.491449224,0.508095793,0.550673696,0.498491728,0.511889939,0.49273257,0.478432418,0.590044067,0.592396287,0.59400078,0.551534184
Costa Rica,1.985402638,1.619472804,1.490280914,1.338953692,1.261428179,1.105661188,1.091382953,1.018158637,0.993581355,0.939021815,0.882302901,0.665478423,0.64344935,0.639101752,0.592046324,0.576992649,0.52294587,0.495064821,0.437723579,0.425032606,0.351770527,0.16586731,0.150624678,0.15056763,0.148088775,0.135095676,0.145386492,0.144147267,0.141031375
Cote d'Ivoire,6.453405643,7.185997009,7.261741979,7.84735538,11.12760699,8.408978658,7.599325696,7.944793229,7.38738906,7.630504026,8.737501514,5.188195459,4.631925311,3.56495826,3.155419788,3.09038458,2.861919278,2.45010635,2.010034993,1.927368075,1.844329495,1.763927586,1.709280627,1.505768164,1.330466581,1.049882791,1.030142573,0.964756278,0.854141483
Croatia,0,0,0,0,0,1.092111787,1.004762025,1.06580671,1.009284057,1.083256929,1.132031602,1.097386367,0.980832049,0.79001466,0.653321773,0.596340716,0.551136535,0.48773645,0.405356769,0.413897142,0.423075992,0.390323612,0.396777568,0.366532195,0.35739325,0.427858257,0.356387422,0.343537044,0.296699536
